[(0,-1,"NULL","e2e4"),
(84,83,"b7b5","a4b3"),
(85,61,"f8c5","c2c3"),
(86,85,"g8e7","e1g1"),
(87,86,"c5b6","d2d4"),
(88,68,"d7d6","a4c6"),
(89,88,"b7c6","d2d4"),
(90,69,"f8e7","a4c6"),
(91,61,"g8f6","e1g1"),
(92,91,"f6e4","d2d4"),
(93,68,"d7d6","c2c3"),
(94,93,"f7f5","e4f5"),
(95,69,"f8e7","f1e1"),
(96,95,"b7b5","a4b3"),
(97,96,"e8g8","c2c3"),
(98,61,"f7f5","b1c3"),
(99,98,"f5e4","c3e4"),
(100,68,"g8f6","d2d4"),
(101,100,"e5d4","e1g1"),
(102,96,"d7d6","c2c3"),
(103,0,"e7e6","d2d4"),
(104,103,"d7d5","e4d5"),
(105,104,"e6d5","g1f3"),
(106,105,"g8f6","f1d3"),
(107,103,"d7d5","b1c3"),
(108,107,"g8f6","c1g5"),
(109,108,"f8e7","e4e5"),
(110,109,"f6d7","g5e7"),
(111,110,"d8e7","f2f4"),
(112,107,"f8b4","a2a3"),
(113,112,"b4c3","b2c3"),
(114,113,"d5e4","d1g4"),
(115,114,"g8f6","g4g7"),
(116,103,"d7d5","e4e5"),
(117,116,"c7c5","c2c3"),
(118,117,"b8c6","g1f3"),
(119,118,"d8b6","f1e2"),
(120,109,"f6d7","h2h4"),
(121,120,"e7g5","h4g5"),
(122,107,"f8b4","g1e2"),
(123,122,"d5e4","a2a3"),
(124,123,"b4e7","c3e4"),
(125,118,"d8b6","f1d3"),
(126,108,"f8b4","e4e5"),
(127,103,"d7d5","b1d2"),
(128,127,"g8f6","e4e5"),
(129,128,"f6d7","f1d3"),
(130,129,"c7c5","c2c3"),
(131,130,"b8c6","g1e2"),
(132,107,"d5e4","c3e4"),
(133,132,"b8d7","g1f3"),
(134,133,"g8f6","e4f6"),
(135,134,"d7f6","f1d3"),
(136,107,"f8b4","e4e5"),
(137,136,"c7c5","a2a3"),
(138,137,"b4c3","b2c3"),
(139,138,"g8e7","d1g4"),
(140,128,"f6d7","f2f4"),
(141,140,"c7c5","c2c3"),
(142,141,"b8c6","d2f3"),
(143,107,"g8f6","e4e5"),
(144,143,"f6d7","f2f4"),
(145,144,"c7c5","g1f3"),
(146,138,"g8e7","g1f3"),
(147,127,"c7c5","e4d5"),
(148,147,"e6d5","g1f3"),
(149,148,"b8c6","c1b5"),
(150,108,"d5e4","c3e4"),
(151,150,"f8e7","g5f6"),
(152,151,"e7f6","g1f3"),
(153,107,"f8b4","c1d2"),
(154,153,"d5e4","d1g4"),
(155,154,"g8f6","g4g7"),
(156,147,"d8d5","g1f3"),
(157,156,"c5d4","f1c4")]
